"AppDate","apps","d_apps","r_apps","d_app_rejections","r_app_rejections","d_ballot_returned","d_percent_returned","r_percent_returned"
"2019-12-30",282,150,123,19,9,33,0.251908396946565,0.385964912280702
"2020-01-06",1505,626,849,33,19,203,0.342327150084317,0.418072289156627
"2020-01-13",1411,562,803,35,11,194,0.368121442125237,0.452020202020202
"2020-01-20",2535,1339,1132,32,10,886,0.677888293802601,0.383244206773619
"2020-01-27",4166,2360,1712,47,14,1452,0.627756160830091,0.451118963486455
"2020-02-03",3837,2016,1660,81,23,740,0.382428940568475,0.369578497251069
"2020-02-10",3455,1799,1497,102,22,812,0.478491455509723,0.395254237288136
"2020-02-17",3759,2106,1501,101,22,807,0.402493765586035,0.417849898580122
"2020-02-24",5285,2837,2172,121,21,1205,0.443667157584683,0.435146443514644
"2020-03-02",6031,3421,2281,105,31,1384,0.417370325693607,0.441333333333333
"2020-03-09",6997,4320,2359,81,21,1951,0.460250058976174,0.434131736526946
"2020-03-16",5268,3067,1886,28,10,1355,0.445870352089503,0.453091684434968
"2020-03-23",4087,2168,1657,18,8,1192,0.554418604651163,0.474226804123711
"2020-03-30",13963,5112,8228,34,26,2179,0.429105947223316,0.413679590343819
"2020-04-06",119822,41592,72322,89,74,16538,0.398477218514324,0.327303177942642
"2020-04-13",99963,38389,54446,84,75,16037,0.418665970499935,0.317283110481691
"2020-04-20",73450,31380,36841,91,74,13815,0.44152897184314,0.32686920336171
"2020-04-27",51930,26397,22330,98,56,12844,0.488383588729609,0.327377211098141
"2020-05-04",38250,19450,16379,61,41,8815,0.45463922842849,0.334679887379116
"2020-05-11",30522,14799,14131,71,44,6298,0.427620858229223,0.343508199048768
"2020-05-18",19033,7571,10391,80,29,2500,0.333733813910025,0.283342983979927
"2020-05-25",11758,5204,5826,62,17,1873,0.364255153636717,0.227405749698743
"2020-06-01",8956,4863,3521,95,20,1390,0.291526845637584,0.211939445872608
"2020-06-08",1512,1094,233,13,5,291,0.269195189639223,0.223684210526316
"2020-06-15",892,600,155,8,2,377,0.636824324324324,0.372549019607843
"2020-06-22",1131,761,206,12,1,470,0.627503337783712,0.497560975609756
"2020-06-29",3327,2174,714,16,3,1442,0.668211306765524,0.417721518987342
"2020-07-06",5736,3716,1194,22,4,2850,0.771521386031402,0.63781512605042
"2020-07-13",8870,6052,1536,26,10,4379,0.726684367739794,0.752948885976409
"2020-07-20",60167,27709,21083,51,13,22840,0.82580085327934,0.966777408637874
"2020-07-27",74078,38562,18920,45,7,25391,0.659215411376795,0.950880346851372
"2020-08-03",101841,50433,28179,38,5,31508,0.625220756027384,0.948853552921133
